size,bandwidth
1,0.0
524289,12.9
1048577,13.0
1572865,13.1
2097153,13.1
2621441,13.1
3145729,13.1
3670017,13.1
4194305,13.1
4718593,13.1
5242881,13.2
5767169,13.1
6291457,13.1
6815745,13.1
7340033,13.1
7864321,13.2
8388609,13.2
8912897,13.2
9437185,13.2
9961473,13.2
10485761,13.2
11010049,13.2
11534337,13.2
12058625,13.2
12582913,13.2
13107201,13.2
13631489,13.2
14155777,13.2
14680065,13.2
15204353,13.2
15728641,13.2
16252929,13.2
16777217,13.2
17301505,13.2
17825793,13.2
18350081,13.2
18874369,13.2
19398657,13.2
19922945,13.2
20447233,13.2
20971521,13.2
21495809,13.2
22020097,13.2
22544385,13.2
23068673,13.2
23592961,13.2
24117249,13.2
24641537,13.2
25165825,13.2
25690113,13.2
26214401,13.2
26738689,13.2
27262977,13.2
27787265,13.2
28311553,13.2
28835841,13.2
29360129,13.2
29884417,13.2
30408705,13.2
30932993,13.2
31457281,13.2
31981569,13.2
32505857,13.2
33030145,13.2
33554433,13.2
34078721,13.2
34603009,13.2
35127297,13.2
35651585,13.2
36175873,13.2
36700161,13.2
37224449,13.2
37748737,13.2
38273025,13.2
38797313,13.2
39321601,13.2
39845889,13.2
40370177,13.2
40894465,13.2
41418753,13.2
41943041,13.2
42467329,13.2
42991617,13.2
43515905,13.2
44040193,13.2
44564481,13.2
45088769,13.2
45613057,13.2
46137345,13.2
46661633,13.2
47185921,13.2
47710209,13.2
48234497,13.2
48758785,13.2
49283073,13.2
49807361,13.2
50331649,13.2
50855937,13.2
51380225,13.2
51904513,13.2
