Duration,Size,Throughput,SrcMemType,DstMemType,Name
356.25us,4.1199MB,11.293GB/s,Pinned,Device,[CUDA memcpy HtoD]
88.384us, 1.0000MB,11.049GB/s,Pinned,Device,[CUDA memcpy HtoD]
87.967us,1.0000MB,11.101GB/s,Pinned,Device,[CUDA memcpy HtoD]
88.128us,1.0000MB,11.081GB/s,Pinned,Device,[CUDA memcpy HtoD]
61.183us,703.13KB,10.960GB/s,Pinned,Device,[CUDA memcpy HtoD]
832ns,128B,146.72MB/s,Pinned,Device,[CUDA memcpy HtoD]
832ns,128B,146.72MB/s,Pinned,Device,[CUDA memcpy HtoD]
832ns,128B,146.72MB/s,Pinned,Device,[CUDA memcpy HtoD]
10.001ms,50.000MB,4.8821GB/s,Pageable,Device,[CUDA memcpy HtoD]
45.056us,512.00KB,10.837GB/s,Pageable,Device,[CUDA memcpy HtoD]
19.900ms,-,-,-,-,calcforce() [292]
80.768us,1.0000MB,12.091GB/s,Device,Pinned,[CUDA memcpy DtoH]
80.959us,1.0000MB,12.062GB/s,Device,Pinned,[CUDA memcpy DtoH]
80.832us,1.0000MB,12.081GB/s,Device,Pinned,[CUDA memcpy DtoH]
