size,bandwidth
1,0.0
1025,0.6
2049,1.2
3073,1.7
4097,1.7
5121,2.8
6145,3.4
7169,3.9
8193,4.5
9217,4.6
10241,5.2
11265,5.6
12289,5.9
13313,3.9
14337,6.4
15361,6.6
16385,6.9
17409,6.4
18433,7.2
19457,7.3
20481,7.6
21505,7.7
22529,7.9
23553,8.0
24577,8.1
25601,8.2
26625,8.4
27649,8.5
28673,8.6
29697,8.7
30721,8.8
31745,8.3
32769,8.1
33793,9.1
34817,9.2
35841,9.3
36865,9.4
37889,9.4
38913,6.3
39937,6.2
40961,9.6
41985,9.7
43009,9.8
44033,8.8
45057,9.9
46081,9.9
47105,5.8
48129,10.0
49153,10.1
50177,7.1
51201,10.2
52225,10.2
53249,6.6
54273,10.3
55297,10.3
56321,10.4
57345,10.4
58369,9.0
59393,9.3
60417,10.5
61441,6.9
62465,10.6
63489,10.5
64513,6.8
65537,10.6
66561,10.7
67585,6.9
68609,10.7
69633,10.8
70657,10.8
71681,10.8
72705,10.9
73729,10.8
74753,10.9
75777,11.0
76801,11.0
77825,11.0
78849,11.1
79873,11.1
80897,11.1
81921,11.1
82945,11.1
83969,8.5
84993,10.1
86017,10.1
87041,11.2
88065,6.9
89089,11.2
90113,11.2
91137,8.5
92161,11.3
93185,7.4
94209,11.4
95233,11.4
96257,7.6
97281,11.4
98305,11.1
99329,11.4
100353,11.5
101377,7.1
102401,10.0
103425,11.5
104449,11.2
105473,11.5
106497,7.1
107521,11.6
108545,11.6
109569,11.5
110593,11.6
111617,11.6
112641,11.6
113665,11.6
114689,11.6
115713,11.7
116737,11.6
117761,11.7
118785,11.7
119809,11.7
120833,11.7
121857,11.7
122881,9.4
123905,10.4
124929,11.8
125953,11.4
126977,11.8
128001,11.8
129025,9.4
130049,11.8
131073,10.9
132097,11.8
133121,7.1
134145,11.9
135169,8.6
136193,11.9
137217,11.3
138241,10.5
139265,11.9
140289,11.4
141313,11.9
142337,7.5
143361,11.9
144385,8.4
145409,12.0
146433,11.9
147457,11.9
148481,11.9
149505,12.0
150529,12.0
151553,12.0
152577,10.9
153601,12.0
154625,12.0
155649,12.0
156673,9.8
157697,12.0
158721,12.0
159745,11.8
160769,12.0
161793,9.8
162817,12.1
163841,12.1
164865,12.1
165889,10.0
166913,12.1
167937,12.0
168961,12.0
169985,10.7
171009,12.1
172033,12.1
173057,12.1
174081,11.1
175105,11.7
176129,12.1
177153,12.2
178177,11.5
179201,12.2
180225,12.2
181249,12.1
182273,12.2
183297,12.1
184321,12.2
185345,12.2
186369,10.2
187393,10.8
188417,12.2
189441,11.5
190465,12.2
191489,10.9
192513,11.0
193537,12.2
194561,8.3
195585,12.2
196609,9.1
197633,12.2
198657,9.8
199681,12.3
200705,12.0
201729,12.0
202753,11.8
203777,9.1
204801,12.3
205825,11.6
206849,12.3
207873,12.2
208897,12.3
209921,12.2
210945,12.3
211969,12.3
212993,11.5
214017,11.1
215041,12.3
216065,9.0
217089,12.3
218113,12.3
219137,8.7
220161,12.3
221185,12.1
222209,11.3
223233,11.4
224257,9.4
225281,12.4
226305,12.0
227329,9.3
228353,12.4
229377,11.6
230401,12.3
231425,12.3
232449,11.4
233473,12.3
234497,9.4
235521,12.4
236545,10.7
237569,11.7
238593,12.3
239617,11.8
240641,10.2
241665,12.4
242689,12.4
243713,9.2
244737,12.4
245761,12.4
246785,8.1
247809,12.4
248833,12.5
249857,11.8
250881,12.4
251905,12.4
252929,12.5
253953,11.0
254977,12.4
256001,12.5
257025,9.7
258049,12.4
259073,12.4
260097,8.8
261121,9.7
262145,12.5
263169,11.1
264193,9.7
265217,12.3
266241,11.4
267265,9.9
268289,11.7
269313,12.5
270337,12.5
271361,12.5
272385,12.4
273409,12.5
274433,12.5
275457,11.5
276481,12.5
277505,12.5
278529,9.8
279553,12.3
280577,12.5
281601,10.7
282625,9.9
283649,12.1
284673,12.5
285697,12.2
286721,9.3
287745,12.5
288769,12.5
289793,8.6
290817,10.1
291841,12.5
292865,11.9
293889,12.5
294913,12.5
295937,12.5
296961,11.5
297985,12.5
299009,12.3
300033,11.4
301057,10.1
302081,12.6
303105,12.1
304129,10.2
305153,10.7
306177,12.6
307201,12.5
308225,9.2
309249,12.6
310273,12.6
311297,8.8
312321,10.4
313345,12.5
314369,11.9
315393,12.6
316417,12.5
317441,12.5
318465,12.0
319489,12.6
320513,11.0
321537,12.6
322561,12.6
323585,11.4
324609,10.2
325633,10.5
326657,12.6
327681,12.6
328705,9.4
329729,10.9
330753,12.6
331777,12.0
332801,10.5
333825,12.6
334849,12.6
335873,12.6
336897,12.6
337921,11.4
338945,12.6
339969,11.7
340993,12.6
342017,10.3
343041,9.3
344065,12.5
345089,12.6
346113,10.8
347137,10.3
348161,10.8
349185,12.2
350209,12.6
351233,9.2
352257,10.4
353281,12.6
354305,12.1
355329,12.7
356353,12.6
357377,12.6
358401,12.7
359425,12.7
360449,9.8
361473,12.2
362497,12.7
363521,12.2
364545,11.9
365569,9.2
366593,10.4
367617,12.7
368641,11.7
369665,12.3
370689,9.2
371713,10.5
372737,12.6
373761,12.7
374785,12.7
375809,12.6
376833,12.7
377857,12.7
378881,9.7
379905,12.2
380929,12.3
381953,9.3
382977,10.5
384001,10.3
385025,12.4
386049,12.6
387073,11.6
388097,10.8
389121,9.3
390145,10.9
391169,12.7
392193,12.2
393217,12.6
394241,12.6
395265,11.5
396289,12.7
397313,10.4
398337,12.7
399361,12.7
400385,10.7
401409,10.6
402433,9.4
403457,10.6
404481,11.9
405505,12.2
406529,12.7
407553,11.6
408577,11.3
409601,12.6
410625,12.7
411649,12.7
412673,12.3
413697,12.7
414721,12.7
415745,12.7
416769,10.7
417793,9.5
418817,10.8
419841,12.4
420865,12.7
421889,12.5
422913,12.3
423937,12.7
424961,12.6
425985,12.7
427009,12.2
428033,12.7
429057,12.7
430081,12.7
431105,11.4
432129,12.4
433153,12.7
434177,11.6
435201,12.7
436225,11.7
437249,12.7
438273,11.5
439297,12.3
440321,11.4
441345,12.2
442369,12.2
443393,12.7
444417,12.7
445441,12.3
446465,12.7
447489,11.2
448513,10.9
449537,9.7
450561,10.9
451585,10.2
452609,10.8
453633,12.4
454657,12.3
455681,12.7
456705,11.8
457729,12.5
458753,12.3
459777,12.7
460801,12.8
461825,12.7
462849,12.8
463873,10.2
464897,10.9
465921,10.0
466945,10.9
467969,11.7
468993,12.6
470017,12.8
471041,12.0
472065,12.8
473089,11.1
474113,12.5
475137,12.3
476161,12.8
477185,12.7
478209,12.8
479233,12.6
480257,11.4
481281,12.8
482305,11.0
483329,11.0
484353,10.9
485377,12.1
486401,12.4
487425,12.7
488449,12.7
489473,12.8
490497,12.4
491521,12.8
492545,12.5
493569,12.8
494593,12.0
495617,12.8
496641,12.8
497665,12.5
498689,12.8
499713,12.5
500737,12.8
501761,11.9
502785,12.8
503809,12.4
504833,12.8
505857,12.3
506881,12.8
507905,12.6
508929,12.8
509953,11.8
510977,12.8
512001,12.7
513025,12.7
514049,12.5
515073,11.1
516097,10.9
517121,11.1
518145,10.0
519169,11.1
520193,12.7
521217,12.8
522241,12.7
523265,11.9
524289,12.8
525313,11.0
526337,11.1
527361,10.1
528385,11.1
529409,10.1
530433,11.1
531457,10.2
532481,11.4
533505,10.3
534529,12.5
535553,12.4
536577,12.8
537601,12.6
538625,12.8
539649,10.6
540673,11.1
541697,10.8
542721,11.2
543745,10.2
544769,11.2
545793,10.5
546817,11.2
547841,10.1
548865,11.2
549889,12.4
550913,12.8
551937,12.8
552961,12.8
553985,11.7
555009,12.5
556033,12.2
557057,11.7
558081,10.4
559105,11.2
560129,10.6
561153,11.2
562177,10.2
563201,11.2
564225,12.4
565249,12.8
566273,11.7
567297,12.8
568321,12.8
569345,12.8
570369,11.9
571393,10.4
572417,11.3
573441,10.3
574465,11.4
575489,12.1
576513,12.8
577537,12.8
578561,12.8
579585,12.8
580609,10.5
581633,11.4
582657,10.3
583681,11.3
584705,10.5
585729,12.8
586753,12.4
587777,10.5
588801,11.3
589825,12.5
590849,12.8
591873,12.8
592897,12.9
593921,10.3
594945,11.3
595969,11.4
596993,12.8
598017,11.3
599041,10.6
600065,11.3
601089,10.4
602113,12.7
603137,12.5
604161,12.8
605185,12.8
606209,10.6
607233,11.3
608257,10.4
609281,11.6
610305,11.8
611329,12.6
612353,11.2
613377,10.4
614401,11.4
615425,12.5
616449,12.9
617473,12.6
618497,12.9
619521,11.0
620545,11.4
621569,12.1
622593,12.1
623617,11.4
624641,10.7
625665,11.4
626689,10.5
627713,12.7
628737,12.6
629761,12.8
630785,12.0
631809,12.9
632833,12.7
633857,12.7
634881,11.4
635905,10.5
636929,11.3
637953,11.3
638977,12.6
640001,11.4
641025,12.8
642049,12.9
643073,12.7
644097,12.9
645121,10.7
646145,11.5
647169,10.5
648193,12.0
649217,11.7
650241,11.0
651265,11.5
652289,10.5
653313,12.6
654337,12.6
655361,12.9
656385,12.1
657409,12.4
658433,12.0
659457,10.6
660481,11.4
661505,11.1
662529,11.3
663553,11.5
664577,10.6
665601,11.6
666625,12.6
667649,12.9
668673,12.1
669697,12.6
670721,12.8
671745,10.6
672769,11.4
673793,10.6
674817,12.7
675841,11.2
676865,10.6
677889,11.5
678913,12.5
679937,12.9
680961,12.1
681985,12.9
683009,12.9
684033,10.8
685057,11.5
686081,10.8
687105,11.1
688129,11.5
689153,10.6
690177,12.8
691201,12.9
692225,12.8
693249,12.4
694273,10.9
695297,11.6
696321,10.6
697345,12.6
698369,11.5
699393,10.6
700417,11.6
701441,11.5
702465,12.8
703489,12.9
704513,12.9
705537,12.9
706561,10.5
707585,11.6
708609,11.3
709633,10.7
710657,11.5
711681,12.2
712705,10.7
713729,11.5
714753,12.6
715777,12.9
716801,12.1
717825,12.3
718849,11.6
719873,10.7
720897,11.6
721921,11.5
722945,10.9
723969,11.6
724993,11.6
726017,12.7
727041,12.9
728065,12.4
729089,12.9
730113,11.5
731137,12.1
732161,11.6
733185,10.9
734209,11.3
735233,11.6
736257,11.3
737281,12.9
738305,12.9
739329,12.6
740353,12.9
741377,11.4
742401,12.5
743425,11.7
744449,10.8
745473,11.4
746497,11.6
747521,10.8
748545,12.9
749569,12.9
750593,12.8
751617,12.9
752641,11.0
753665,11.7
754689,11.5
755713,10.8
756737,12.6
757761,11.7
758785,10.9
759809,12.9
760833,12.9
761857,12.7
762881,12.9
763905,11.5
764929,12.1
765953,11.6
766977,10.9
768001,11.3
769025,11.7
770049,11.2
771073,12.8
772097,12.9
773121,12.2
774145,12.9
775169,12.4
776193,10.9
777217,11.8
778241,11.7
779265,10.9
780289,11.9
781313,11.7
782337,12.6
783361,12.9
784385,12.4
785409,11.1
786433,11.7
787457,11.7
788481,10.9
789505,12.6
790529,11.7
791553,11.0
792577,12.8
793601,12.9
794625,12.2
795649,12.7
796673,11.7
797697,10.9
798721,12.3
799745,11.7
800769,11.4
801793,11.0
802817,11.8
803841,12.7
804865,12.8
805889,12.9
806913,11.5
807937,11.8
808961,11.8
809985,11.3
811009,11.0
812033,11.8
813057,11.7
814081,12.7
815105,12.9
816129,12.6
817153,11.2
818177,11.8
819201,11.8
820225,11.0
821249,11.0
822273,11.6
823297,11.8
824321,12.7
825345,12.7
826369,12.9
827393,11.9
828417,11.0
829441,11.0
830465,11.8
831489,11.7
832513,11.5
833537,12.7
834561,12.9
835585,12.8
836609,11.2
837633,11.0
838657,11.8
839681,11.8
840705,11.3
841729,10.9
842753,12.9
843777,12.9
844801,12.2
845825,11.5
846849,11.8
847873,11.7
848897,11.0
849921,11.3
850945,11.7
851969,11.8
852993,12.7
854017,12.9
855041,12.9
856065,11.4
857089,11.3
858113,11.8
859137,11.7
860161,11.0
861185,11.1
862209,11.9
863233,12.9
864257,12.6
865281,13.0
866305,11.9
867329,11.0
868353,11.2
869377,11.8
870401,11.5
871425,11.1
872449,12.6
873473,12.9
874497,12.3
875521,11.2
876545,11.8
877569,11.1
878593,11.1
879617,11.5
880641,11.9
881665,11.8
882689,12.7
883713,12.9
884737,12.9
885761,10.7
886785,11.6
887809,11.8
888833,11.5
889857,11.1
890881,11.0
891905,11.9
892929,12.6
893953,12.8
894977,12.9
896001,11.0
897025,11.1
898049,11.8
899073,11.8
900097,11.1
901121,11.1
902145,12.7
903169,12.9
904193,12.2
905217,12.3
906241,11.8
907265,10.9
908289,11.1
909313,11.3
910337,11.7
911361,11.8
912385,12.6
913409,12.8
914433,12.8
915457,11.7
916481,11.1
917505,11.0
918529,11.8
919553,11.7
920577,11.1
921601,12.7
922625,12.9
923649,12.3
924673,11.3
925697,11.1
926721,11.8
927745,11.9
928769,10.8
929793,11.2
930817,12.6
931841,12.9
932865,12.2
933889,11.4
934913,11.8
935937,11.9
936961,11.3
937985,11.2
939009,11.1
940033,11.9
941057,12.9
942081,12.3
943105,12.3
944129,11.9
945153,11.6
946177,11.2
947201,11.2
948225,11.2
949249,11.9
950273,12.9
951297,12.3
952321,11.7
953345,11.9
954369,11.6
955393,10.8
956417,11.2
957441,11.2
958465,11.9
959489,12.9
960513,12.3
961537,11.4
962561,11.8
963585,11.9
964609,11.9
965633,11.2
966657,11.2
967681,12.6
968705,12.9
969729,12.6
970753,11.5
971777,11.2
972801,11.2
973825,11.8
974849,11.9
975873,11.5
976897,12.7
977921,12.8
978945,12.9
979969,11.7
980993,11.2
982017,11.2
983041,11.5
984065,11.8
985089,11.9
986113,12.7
987137,12.3
988161,12.3
989185,11.9
990209,11.9
991233,10.5
992257,11.3
993281,11.2
994305,12.0
995329,12.9
996353,12.4
997377,11.4
998401,11.9
999425,11.9
1000449,11.2
1001473,11.3
1002497,11.3
1003521,12.8
1004545,12.9
1005569,12.3
1006593,11.4
1007617,11.1
1008641,11.9
1009665,12.0
1010689,11.4
1011713,11.2
1012737,12.6
1013761,12.9
1014785,12.5
1015809,11.6
1016833,11.3
1017857,11.3
1018881,11.9
1019905,11.9
1020929,11.1
1021953,12.7
1022977,12.8
1024001,12.9
1025025,11.3
1026049,11.3
1027073,11.2
1028097,11.9
1029121,11.9
1030145,11.5
1031169,12.6
1032193,12.8
1033217,12.9
1034241,11.8
1035265,11.3
1036289,11.3
1037313,11.3
1038337,11.9
1039361,12.0
1040385,12.7
1041409,12.8
1042433,12.9
1043457,12.0
1044481,11.4
1045505,10.7
1046529,11.3
1047553,11.4
