   size\stride,             1,             2,             3,             4,             5,             6,             7,             8
     14.340000,     19.273218,     19.852571,     19.351026,     19.229783,     19.480154,     19.717679,     19.574584,     19.135452
     21.500000,     19.333998,     19.374981,     19.577654,     19.223681,     19.844354,     20.213456,     19.546614,     19.892590
     32.260000,     20.448541,     20.232781,     19.986967,     19.702382,     19.716474,     19.330986,     19.683926,     20.062745
     48.380000,     23.723875,     25.221133,     27.335516,     20.065161,     24.008677,     20.090685,     21.712541,     20.093905
     72.580000,     23.527631,     25.337527,     27.183195,     27.127744,     29.121190,     27.476477,     26.899472,     19.631770
    108.860000,     23.654195,     25.259319,     27.013034,     27.009502,     28.835315,     29.309761,     29.471503,     24.089739
    163.300000,     23.576622,     25.197099,     27.009267,     27.067656,     28.790735,     28.696007,     29.276501,     28.381607
    245.060000,     23.518807,     25.178322,     26.954916,     26.931818,     28.496163,     28.785480,     29.132738,     28.374604
    367.580000,     23.526261,     25.186264,     26.989438,     27.270772,     28.732431,     29.321167,     29.645296,     29.203028
    551.490000,     23.446875,     25.138272,     27.006862,     27.633051,     29.164581,     29.370640,     29.960672,     29.945014
    827.230000,     23.504568,     26.892012,     27.041606,     28.083601,     32.863036,     29.698830,     31.604131,     30.350738
   1240.960000,     27.095382,     34.757897,     43.352058,     34.251650,     34.950008,     44.895542,     45.059416,     30.636843
   1861.440000,     30.327810,     48.810555,     65.677603,     49.758055,     58.387511,     51.315111,     55.501003,     29.928043
   2792.160000,     30.339053,     49.495477,     68.058988,     63.110083,     77.217795,     72.310532,     74.971489,     50.413884
   4188.350000,     30.353806,     49.471987,     68.221013,     64.039088,     78.339931,     78.913626,     80.223615,     67.295656
   6282.530000,     30.314641,     49.460872,     68.115488,     64.022483,     78.335064,     78.884891,     80.301752,     72.553803
   9423.900000,     30.353054,     49.449755,     68.275294,     64.019468,     78.284039,     78.799168,     80.307944,     72.462672
  14135.970000,     30.333298,     49.444177,     68.184957,     64.023541,     78.327876,     78.949492,     80.385640,     72.471103
  21204.060000,     39.125295,     54.335619,     69.921629,     64.783961,     79.438173,     79.345163,     81.849285,     72.674881
  31806.210000,     44.595867,     62.615861,     96.163861,     83.405611,    103.221273,    101.909883,    110.148656,     76.405511
  47709.310000,     50.964265,     80.364968,    111.931797,    115.647004,    145.911721,    116.094033,    159.175299,     81.722862
  71563.970000,     55.372003,     91.868094,    128.509841,    143.868857,    169.015815,    162.947082,    190.200520,    109.030388
 107345.950000,     55.770327,     95.265329,    134.798889,    157.680366,    182.511802,    187.725060,    205.278172,    156.182349
 161019.040000,     56.480605,     96.970712,    138.325519,    164.720262,    187.902265,    204.021633,    215.625051,    182.611678
 241528.670000,     56.847183,     97.991848,    139.730129,    167.406737,    192.599987,    208.050766,    221.172335,    198.234868
 362293.120000,     56.986308,     98.602043,    140.619557,    169.153082,    193.986622,    210.145658,    222.806937,    205.594802
 543439.680000,     57.151646,     98.930461,    141.088603,    170.233231,    194.776457,    210.550737,    223.778257,    207.515296
