INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,1,3,2.400000,64,8,3

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.1598596930,  0.0009728787,     18.679271,      6.226424,      0.778303
           768,         21.50,           192,  0.4403310890,  0.0009626293,     18.482482,      6.160827,      0.770103
          1152,         32.26,           288,  0.4690195430,  0.0010245329,     19.671031,      6.557010,      0.819626
          1728,         48.38,           432,  0.4959722030,  0.0011847103,     22.746438,      7.582146,      0.947768
          2592,         72.58,           648,  0.4956872280,  0.0011778673,     22.615052,      7.538351,      0.942294
          3888,        108.86,           972,  0.4938972590,  0.0011774248,     22.606557,      7.535519,      0.941940
          5832,        163.30,          1458,  0.4976707560,  0.0011778398,     22.614524,      7.538175,      0.942272
          8752,        245.06,          2188,  0.4980767270,  0.0011739355,     22.539562,      7.513187,      0.939148
         13128,        367.58,          3282,  0.4993325400,  0.0011762282,     22.583581,      7.527860,      0.940983
         19696,        551.49,          4924,  0.4987655920,  0.0011751992,     22.563824,      7.521275,      0.940159
         29544,        827.23,          7386,  0.4995284280,  0.0012337066,     23.687166,      7.895722,      0.986965
         44320,       1240.96,         11080,  0.4991087970,  0.0013686777,     26.278612,      8.759537,      1.094942
         66480,       1861.44,         16620,  0.5022367980,  0.0015109410,     29.010068,      9.670023,      1.208753
         99720,       2792.16,         24930,  0.4973142130,  0.0015223156,     29.228460,      9.742820,      1.217853
        149584,       4188.35,         37396,  0.4998257490,  0.0015229893,     29.241395,      9.747132,      1.218391
        224376,       6282.53,         56094,  0.4997905450,  0.0015204565,     29.192765,      9.730922,      1.216365
        336568,       9423.90,         84142,  0.4993349360,  0.0015216491,     29.215663,      9.738554,      1.217319
        504856,      14135.97,        126214,  0.4966685620,  0.0015228833,     29.239360,      9.746453,      1.218307
        757288,      21204.06,        189322,  0.4903367630,  0.0015908857,     30.545005,     10.181668,      1.272709
       1135936,      31806.21,        283984,  0.4926453500,  0.0021364094,     41.019061,     13.673020,      1.709128
       1703904,      47709.31,        425976,  0.4953810900,  0.0025728582,     49.398878,     16.466293,      2.058287
       2555856,      71563.97,        638964,  0.4949313710,  0.0027274089,     52.366251,     17.455417,      2.181927
       3833784,     107345.95,        958446,  0.4928343140,  0.0027945730,     53.655803,     17.885268,      2.235658
       5750680,     161019.04,       1437670,  0.4864692870,  0.0028197783,     54.139744,     18.046581,      2.255823
       8626024,     241528.67,       2156506,  0.4895014170,  0.0028373525,     54.477168,     18.159056,      2.269882
      12939040,     362293.12,       3234760,  0.4793580630,  0.0028498016,     54.716191,     18.238730,      2.279841
      19408560,     543439.68,       4852140,  0.4983069070,  0.0028527327,     54.772468,     18.257489,      2.282186
      29112840,     815159.52,       7278210,  0.4992673350,  0.0028582310,     54.878036,     18.292679,      2.286585
      43669264,    1222739.39,      10917316,  0.4991215880,  0.0028573964,     54.862011,     18.287337,      2.285917
      65503896,    1834109.09,      16375974,  0.3739758880,  0.0028546080,     54.808473,     18.269491,      2.283686
INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[likwid-pin] Main PID -> hwthread 0 - OK
ISA,Layout,Stride,Dims,Frequency (GHz),Cache Line Size (B),Vector Width (e),Cache Lines/Gather
avx512,AoS,2,3,2.400000,64,8,6

             N,      Size(kB),       cut CLs,     tot. time,  time/LUP(ms),         cy/it,     cy/gather,       cy/elem
           512,         14.34,           128,  0.3466341460,  0.0009970881,     19.144091,      6.381364,      0.797670
           768,         21.50,           192,  0.4397313470,  0.0009662532,     18.552061,      6.184020,      0.773003
          1152,         32.26,           288,  0.4625803310,  0.0010104746,     19.401112,      6.467037,      0.808380
          1728,         48.38,           432,  0.4892099070,  0.0012659246,     24.305753,      8.101918,      1.012740
          2592,         72.58,           648,  0.4969605110,  0.0012628761,     24.247222,      8.082407,      1.010301
          3888,        108.86,           972,  0.4937782010,  0.0012605140,     24.201869,      8.067290,      1.008411
          5832,        163.30,          1458,  0.4982291340,  0.0012604606,     24.200843,      8.066948,      1.008368
          8752,        245.06,          2188,  0.4987107120,  0.0012567263,     24.129146,      8.043049,      1.005381
         13128,        367.58,          3282,  0.4994857500,  0.0012593043,     24.178642,      8.059547,      1.007443
